Serial No,Timestamp,Temperature,Humidity,latitude,longitude
1392976445,2014/02/21 15:24:05,27,55,13.00361,77.61818
1392976752,2014/02/21 15:29:12,27,55,13.00361,77.61818
1392977060,2014/02/21 15:34:20,27,54,13.00361,77.61818
1392977316,2014/02/21 15:38:36,27,54,13.00361,77.61818
1392977624,2014/02/21 15:43:44,26.9,54,13.00361,77.61818
1392977931,2014/02/21 15:48:51,26.9,54,13.00361,77.61818
1392978239,2014/02/21 15:53:59,26.9,53,13.00361,77.61818
1392978546,2014/02/21 15:59:06,26.9,54,13.00361,77.61818
1392978853,2014/02/21 16:04:13,26.9,54,13.00361,77.61818
1392979162,2014/02/21 16:09:22,26.9,54,13.00361,77.61818
1392979469,2014/02/21 16:14:29,26.9,54,13.00361,77.61818
1392979777,2014/02/21 16:19:37,26.9,54,13.00361,77.61818
1392980085,2014/02/21 16:24:45,26.9,53,13.00361,77.61818
1392980392,2014/02/21 16:29:52,27.1,53,13.00361,77.61818
1392980700,2014/02/21 16:35:00,27.1,53,13.00361,77.61818
1392980955,2014/02/21 16:39:15,27.1,52,13.00361,77.61818
1392981263,2014/02/21 16:44:23,27.1,52,13.00361,77.61818
1392981570,2014/02/21 16:49:30,27.1,52,13.00361,77.61818
1392981878,2014/02/21 16:54:38,27,52,13.00361,77.61818
1392982186,2014/02/21 16:59:46,27,52,13.00361,77.61818
1392982493,2014/02/21 17:04:53,27,52,13.00361,77.61818
1392982801,2014/02/21 17:10:01,26.9,52,13.00361,77.61818
1392983109,2014/02/21 17:15:09,26.9,52,13.00361,77.61818
1392983416,2014/02/21 17:20:16,26.9,52,13.00361,77.61818
1392983724,2014/02/21 17:25:24,26.9,52,13.00361,77.61818
1392984031,2014/02/21 17:30:31,26.8,53,13.00361,77.61818
1392984339,2014/02/21 17:35:39,26.8,53,13.00361,77.61818
1392984595,2014/02/21 17:39:55,26.8,53,13.00361,77.61818
1392984903,2014/02/21 17:45:03,26.8,54,13.00361,77.61818
1392985211,2014/02/21 17:50:11,26.8,54,13.00361,77.61818
1392985518,2014/02/21 17:55:18,26.7,53,13.00361,77.61818
1392985826,2014/02/21 18:00:26,26.7,53,13.00361,77.61818
1392986133,2014/02/21 18:05:33,26.7,54,13.00361,77.61818
1392986440,2014/02/21 18:10:40,26.6,54,13.00361,77.61818
1392986748,2014/02/21 18:15:48,26.5,54,13.00361,77.61818
1392987056,2014/02/21 18:20:56,26.5,54,13.00361,77.61818
1392987364,2014/02/21 18:26:04,26.4,54,13.00361,77.61818
1392987672,2014/02/21 18:31:12,26.3,54,13.00361,77.61818
1392987979,2014/02/21 18:36:19,26.3,54,13.00361,77.61818
1392988287,2014/02/21 18:41:27,26.2,54,13.00361,77.61818
1392988594,2014/02/21 18:46:34,26.2,54,13.00361,77.61818
1392988851,2014/02/21 18:50:51,26.2,55,13.00361,77.61818
1392989158,2014/02/21 18:55:58,26.1,55,13.00361,77.61818
1392989466,2014/02/21 19:01:06,26.1,55,13.00361,77.61818
1392989774,2014/02/21 19:06:14,26.1,54,13.00361,77.61818
1392990081,2014/02/21 19:11:21,26.1,54,13.00361,77.61818
1392990389,2014/02/21 19:16:29,26,55,13.00361,77.61818
1392990695,2014/02/21 19:21:35,26,55,13.00361,77.61818
1392991003,2014/02/21 19:26:43,26,55,13.00361,77.61818
1392991312,2014/02/21 19:31:52,25.9,55,13.00361,77.61818
1392991619,2014/02/21 19:36:59,25.9,55,13.00361,77.61818
1392991926,2014/02/21 19:42:06,25.9,55,13.00361,77.61818
1392992182,2014/02/21 19:46:22,25.8,55,13.00361,77.61818
1392992490,2014/02/21 19:51:30,25.8,55,13.00361,77.61818
1392992798,2014/02/21 19:56:38,25.8,55,13.00361,77.61818
1392993106,2014/02/21 20:01:46,25.8,55,13.00361,77.61818
1392993414,2014/02/21 20:06:54,25.8,56,13.00361,77.61818
1392993721,2014/02/21 20:12:01,25.8,56,13.00361,77.61818
1392994029,2014/02/21 20:17:09,25.8,56,13.00361,77.61818
1392994337,2014/02/21 20:22:17,25.8,56,13.00361,77.61818
1392994644,2014/02/21 20:27:24,25.8,56,13.00361,77.61818
1392994952,2014/02/21 20:32:32,25.8,55,13.00361,77.61818
1392995259,2014/02/21 20:37:39,25.7,56,13.00361,77.61818
1392995515,2014/02/21 20:41:55,25.7,56,13.00361,77.61818
1392995822,2014/02/21 20:47:02,25.7,56,13.00361,77.61818
1392996130,2014/02/21 20:52:10,25.6,56,13.00361,77.61818
1392996438,2014/02/21 20:57:18,25.6,56,13.00361,77.61818
1392996745,2014/02/21 21:02:25,25.5,56,13.00361,77.61818
1392997053,2014/02/21 21:07:33,25.5,56,13.00361,77.61818
1392997361,2014/02/21 21:12:41,25.5,56,13.00361,77.61818
1392997668,2014/02/21 21:17:48,25.4,56,13.00361,77.61818
1392997976,2014/02/21 21:22:56,25.3,56,13.00361,77.61818
1392998283,2014/02/21 21:28:03,25.2,57,13.00361,77.61818
1392998591,2014/02/21 21:33:11,25.2,57,13.00361,77.61818
1392998899,2014/02/21 21:38:19,25.1,57,13.00361,77.61818
1392999155,2014/02/21 21:42:35,25,57,13.00361,77.61818
1392999463,2014/02/21 21:47:43,24.9,57,13.00361,77.61818
1392999770,2014/02/21 21:52:50,24.9,57,13.00361,77.61818
1393000078,2014/02/21 21:57:58,24.8,57,13.00361,77.61818
1393000385,2014/02/21 22:03:05,24.8,57,13.00361,77.61818
1393000693,2014/02/21 22:08:13,24.8,58,13.00361,77.61818
1393001001,2014/02/21 22:13:21,24.7,58,13.00361,77.61818
1393001308,2014/02/21 22:18:28,24.6,58,13.00361,77.61818
1393001615,2014/02/21 22:23:35,24.6,58,13.00361,77.61818
1393001922,2014/02/21 22:28:42,24.5,59,13.00361,77.61818
1393002230,2014/02/21 22:33:50,24.5,59,13.00361,77.61818
1393002538,2014/02/21 22:38:58,24.4,59,13.00361,77.61818
1393002795,2014/02/21 22:43:15,24.3,59,13.00361,77.61818
1393003103,2014/02/21 22:48:23,24.3,59,13.00361,77.61818
1393003409,2014/02/21 22:53:29,24.2,60,13.00361,77.61818
1393003717,2014/02/21 22:58:37,24.2,60,13.00361,77.61818
1393004025,2014/02/21 23:03:45,24.1,60,13.00361,77.61818
1393004332,2014/02/21 23:08:52,24,60,13.00361,77.61818
1393004640,2014/02/21 23:14:00,24,60,13.00361,77.61818
1393004947,2014/02/21 23:19:07,23.9,60,13.00361,77.61818
1393005256,2014/02/21 23:24:16,23.9,60,13.00361,77.61818
1393005564,2014/02/21 23:29:24,23.8,60,13.00361,77.61818
1393005870,2014/02/21 23:34:30,23.8,61,13.00361,77.61818
1393006127,2014/02/21 23:38:47,23.7,61,13.00361,77.61818
1393006434,2014/02/21 23:43:54,23.7,61,13.00361,77.61818
1393006742,2014/02/21 23:49:02,23.6,61,13.00361,77.61818
